"state","Cancel_from/Total","Cancel_to/Total"
"Alabama",0,0
"Alaska",0.0388349514563107,0.0388349514563107
"Arizona",0.0514096185737977,0.0431177446102819
"Arkansas",0.0379746835443038,0.0379746835443038
"California",0.0894833948339483,0.0932594644506002
"Colorado",0.0526315789473684,0.0526315789473684
"Connecticut",0.715686274509804,0.757281553398058
"District of Columbia",0.302325581395349,0.23953488372093
"Florida",0.149737302977233,0.151223776223776
"Georgia",0.150684931506849,0.152054794520548
"Hawaii",0,0
"Idaho",0,0
"Illinois",0.12489158716392,0.128360797918474
"Indiana",0.0393700787401575,0.047244094488189
"Iowa",0,0
"Kansas",0,0
"Kentucky",0.0142857142857143,0.0142857142857143
"Louisiana",0.0203045685279188,0.0253807106598985
"Maine",0.805555555555556,0.944444444444444
"Maryland",0.144366197183099,0.109154929577465
"Massachusetts",0.7575,0.91
"Michigan",0.130260521042084,0.11623246492986
"Minnesota",0.0714285714285714,0.0547619047619048
"Mississippi",0,0
"Missouri",0.0511278195488722,0.042042042042042
"Montana",0,0
"Nebraska",0,0
"Nevada",0.0236051502145923,0.021551724137931
"New Hampshire",0.454545454545455,0.727272727272727
"New Jersey",0.613698630136986,0.602739726027397
"New Mexico",0,0
"New York",0.725465838509317,0.701492537313433
"North Carolina",0.112810707456979,0.101338432122371
"North Dakota",0.0666666666666667,0
"Ohio",0.149312377210216,0.133595284872299
"Oklahoma",0.0072463768115942,0
"Oregon",0.0538922155688623,0.0598802395209581
"Pennsylvania",0.266857962697274,0.229555236728838
"Rhode Island",0.482352941176471,0.670588235294118
"South Carolina",0.0172413793103448,0.0172413793103448
"South Dakota",0.166666666666667,0.166666666666667
"Tennessee",0.0676056338028169,0.0507042253521127
"Texas",0.0475737392959087,0.0542082738944365
"Utah",0.0458715596330275,0.0504587155963303
"Vermont",0.692307692307692,0.923076923076923
"Virginia",0.15929203539823,0.15929203539823
"Washington",0.0280373831775701,0.0280373831775701
"West Virginia",0,0
"Wisconsin",0.0111111111111111,0.0111111111111111
"Wyoming",0,0
